,index,Unnamed: 0,cd_name,cd_number,borough,pop_2000,pop_2010,pop_estimate_acs,pop_change_00_10,pop_pct_female_under_5,pop_pct_female_5_9,pop_pct_female_10_14,pop_pct_female_15_19,pop_pct_female_20_24,pop_pct_female_25_29,pop_pct_female_30_34,pop_pct_female_35_39,pop_pct_female_40_44,pop_pct_female_45_49,pop_pct_female_50_54,pop_pct_female_55_59,pop_pct_female_60_64,pop_pct_female_65_69,pop_pct_female_70_74,pop_pct_female_75_79,pop_pct_female_80_84,pop_pct_female_85_over,pop_pct_male_under_5,pop_pct_male_5_9,pop_pct_male_10_14,pop_pct_male_15_19,pop_pct_male_20_24,pop_pct_male_25_29,pop_pct_male_30_34,pop_pct_male_35_39,pop_pct_male_40_44,pop_pct_male_45_49,pop_pct_male_50_54,pop_pct_male_55_59,pop_pct_male_60_64,pop_pct_male_65_69,pop_pct_male_70_74,pop_pct_male_75_79,pop_pct_male_80_84,pop_pct_male_85_over,under18_rate,moe_under18_rate,over65_rate,moe_over65_rate,pop_nrml,DropOffAllocation,pop_per_drop
45,45,45,Queens Community District 4,404,Queens,167005,172598,206053,0.03,3.6,3.1,3.1,2.4,3.1,4.2,4.1,3.7,3.4,3.1,2.9,2.7,2.8,2.1,1.7,1.2,0.8,1.0,3.6,3.3,3.0,2.9,3.4,4.7,4.7,4.2,4.4,3.7,3.3,2.7,2.4,1.8,1.3,0.9,0.5,0.4,23.1,0.9,11.6,0.5,190177.55284397712,4.0,47544.38821099428
46,18,18,Brooklyn Community District 7,307,Brooklyn,120063,126230,153032,0.05,3.8,3.3,2.4,2.5,3.0,5.1,4.9,4.5,3.5,3.4,3.2,2.4,2.4,1.8,1.2,1.0,0.8,0.8,3.9,3.4,3.1,2.1,2.7,5.2,5.3,4.6,3.8,3.4,3.3,2.5,2.1,1.8,1.1,0.8,0.7,0.3,22.8,0.8,10.3,0.5,141241.5799178828,3.0,47080.526639294265
47,0,0,Bronx Community District 1,201,Bronx,82159,91497,101542,0.11,3.6,4.4,3.5,4.2,4.3,4.1,4.1,3.7,3.2,3.5,3.2,2.7,2.2,1.5,1.3,1.1,0.9,1.0,4.6,4.5,4.2,3.7,4.4,4.4,3.8,3.2,2.2,2.5,2.7,2.4,1.6,0.9,1.1,0.8,0.3,0.1,29.7,1.3,9.0,0.5,93718.65040005786,2.0,46859.32520002893
48,27,27,Brooklyn Community District 16,316,Brooklyn,85343,86468,101022,0.01,3.4,2.7,3.1,3.0,3.5,5.1,4.0,4.0,4.1,4.0,4.5,3.3,3.2,2.5,1.7,1.4,1.3,0.9,3.5,3.2,3.5,3.4,3.6,4.0,3.1,2.7,2.3,2.8,2.7,2.7,2.0,1.6,1.2,0.9,0.3,0.4,23.6,1.6,12.4,0.6,93238.71403670053,2.0,46619.35701835027
49,43,43,Queens Community District 2,402,Queens,109920,113200,148787,0.03,2.8,2.3,1.9,2.1,2.5,5.1,4.9,4.5,3.9,3.4,2.7,3.0,2.7,2.2,1.7,1.4,0.9,1.0,2.8,2.3,2.5,1.8,2.8,4.9,5.1,5.3,5.3,4.1,3.5,2.8,2.5,1.9,1.5,1.1,0.6,0.3,17.2,0.9,12.6,0.6,137323.63787470612,3.0,45774.54595823537
50,26,26,Brooklyn Community District 15,315,Brooklyn,160319,159650,197678,0.0,3.5,2.9,2.5,2.2,2.5,3.7,3.4,3.4,3.0,3.1,3.3,3.6,3.6,3.2,2.4,1.7,1.4,2.0,3.9,3.0,3.2,2.6,2.9,3.6,3.2,2.9,3.0,3.0,3.0,3.2,3.2,2.9,1.8,1.5,0.9,1.0,22.0,0.7,18.7,0.5,182447.80853028933,4.0,45611.95213257233
51,25,25,Brooklyn Community District 14,314,Brooklyn,168806,160664,197365,-0.05,3.9,3.6,3.4,2.9,3.7,4.3,4.1,3.5,3.4,3.1,3.1,3.2,3.1,2.5,1.5,1.5,0.9,1.3,4.0,3.4,3.4,3.3,3.2,3.9,3.7,3.5,3.0,2.5,2.6,2.5,2.5,2.0,1.5,1.0,0.6,0.6,25.7,0.9,13.3,0.4,182158.92375773,4.0,45539.7309394325
52,39,39,Manhattan Community District 10,110,Manhattan,107109,115723,147194,0.08,3.4,2.6,2.7,2.4,3.7,6.1,5.6,4.4,3.2,3.6,3.9,3.2,2.7,2.0,1.5,0.8,1.0,1.3,3.5,2.7,2.4,2.2,3.6,5.1,4.3,3.6,3.2,3.1,3.8,2.5,2.3,1.4,0.9,0.8,0.2,0.2,20.3,1.0,10.1,0.5,135853.37128465183,3.0,45284.45709488395
53,57,57,Staten Island Community District 2,502,Staten Island,127071,132003,145127,0.04,2.9,3.0,3.2,2.8,3.0,3.3,3.2,3.0,3.3,3.7,4.0,3.7,3.6,2.8,2.3,1.7,1.3,1.7,2.7,3.2,2.9,2.9,2.8,3.4,3.2,2.5,3.4,3.4,3.5,3.3,3.2,2.6,1.7,1.2,0.8,0.7,21.5,0.8,17.0,0.5,133945.62424030644,3.0,44648.54141343548
54,21,21,Brooklyn Community District 10,310,Brooklyn,122542,124491,144004,0.02,3.2,2.6,2.6,2.6,2.7,3.9,4.0,3.5,3.3,3.3,3.5,3.3,3.1,2.8,1.9,1.4,1.3,1.7,3.3,2.9,2.6,2.2,2.9,4.4,4.5,3.5,3.2,3.4,3.5,3.2,3.0,2.2,1.7,1.2,0.8,0.7,20.1,0.7,15.7,0.5,132909.1462863636,3.0,44303.0487621212
55,51,51,Queens Community District 10,410,Queens,127274,122396,138765,-0.04,2.7,2.5,3.1,2.9,4.0,3.8,3.2,3.1,3.4,3.7,3.8,4.1,3.2,2.7,1.7,1.5,0.9,1.2,3.1,2.3,3.3,3.0,3.2,3.8,3.0,3.0,3.2,3.4,4.0,3.7,3.2,2.1,1.4,1.3,0.7,0.6,20.7,0.9,14.2,0.6,128073.7874255385,3.0,42691.2624751795
56,10,10,Bronx Community District 11,211,Bronx,110706,113232,138593,0.02,2.9,3.0,2.8,2.9,3.4,4.4,3.9,3.6,3.7,3.1,3.4,3.2,3.0,2.4,1.6,1.4,1.4,1.6,3.4,3.4,3.0,3.3,2.9,4.5,3.6,3.3,3.5,3.1,3.3,2.9,2.3,2.0,1.4,1.1,0.7,0.6,22.6,1.1,14.2,0.6,127915.0392438126,3.0,42638.3464146042
57,5,5,Bronx Community District 5,205,Bronx,128313,128200,137213,0.0,4.8,3.6,3.7,4.0,4.4,4.9,3.8,3.7,3.1,3.6,3.9,2.8,2.2,1.9,1.3,1.0,0.4,0.4,4.3,4.2,3.6,3.9,4.2,4.5,3.4,2.8,2.5,2.4,3.5,2.4,1.7,1.3,1.0,0.5,0.2,0.2,28.9,1.0,8.2,0.4,126641.36197182584,3.0,42213.78732394195
58,31,31,Manhattan Community District 2,102,Manhattan,93119,90016,88480,-0.03,1.9,1.5,0.8,2.8,3.7,7.7,6.1,4.0,2.9,2.5,2.3,2.7,2.9,2.9,2.2,1.4,1.0,1.6,1.7,1.0,1.1,2.0,2.7,6.0,6.5,5.2,2.9,3.5,2.9,3.0,3.2,2.5,1.6,1.2,1.0,1.1,9.4,0.8,16.5,1.0,81663.01813433968,2.0,40831.50906716984
